ACT Symbol,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
A,"Agilent Technologies, Inc. Common Stock",N,A,N,100.0,N,A
AA,Alcoa Corporation Common Stock ,N,AA,N,100.0,N,AA
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,N,AAM,N,100.0,N,AAM
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",N,AAM.U,N,100.0,N,AAM=
AAM.W,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",N,AAM.WS,N,100.0,N,AAM+
AAMI,Acadian Asset Management Inc. Common Stock,N,AAMI,N,100.0,N,AAMI
AAP,Advance Auto Parts Inc.,N,AAP,N,100.0,N,AAP
AAT,"American Assets Trust, Inc. Common Stock",N,AAT,N,100.0,N,AAT
AAUC,Allied Gold Corporation Common Shares,N,AAUC,N,100.0,N,AAUC
AB,AllianceBernstein Holding L.P.  Units,N,AB,N,100.0,N,AB
ABBV,AbbVie Inc. Common Stock,N,ABBV,N,100.0,N,ABBV
ABCB,Ameris Bancorp Common Stock,N,ABCB,N,100.0,N,ABCB
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,ABEV,N,100.0,N,ABEV
ABG,Asbury Automotive Group Inc Common Stock,N,ABG,N,100.0,N,ABG
ABM,ABM Industries Incorporated Common Stock,N,ABM,N,100.0,N,ABM
ABR,Arbor Realty Trust Common Stock,N,ABR,N,100.0,N,ABR
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",N,ABRpD,N,100.0,N,ABR-D
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,N,ABRpE,N,100.0,N,ABR-E
ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",N,ABRpF,N,100.0,N,ABR-F
ABT,Abbott Laboratories Common Stock,N,ABT,N,100.0,N,ABT
ACA,"Arcosa, Inc. Common Stock ",N,ACA,N,100.0,N,ACA
ACCO,Acco Brands Corporation Common Stock,N,ACCO,N,100.0,N,ACCO
ACEL,"Accel Entertainment, Inc. ",N,ACEL,N,100.0,N,ACEL
ACHR,Archer Aviation Inc. Class A Common Stock,N,ACHR,N,100.0,N,ACHR
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N,ACHR.WS,N,100.0,N,ACHR+
ACI,"Albertsons Companies, Inc. Class A Common Stock",N,ACI,N,100.0,N,ACI
ACLO,TCW AAA CLO ETF,N,ACLO,Y,100.0,N,ACLO
ACM,AECOM Common Stock,N,ACM,N,100.0,N,ACM
ACN,Accenture plc Class A Ordinary Shares (Ireland),N,ACN,N,100.0,N,ACN
ACP,abrdn Income Credit Strategies Fund Common Shares,N,ACP,N,100.0,N,ACP
